file,title,step_number,step,gt_action,gt_targets,m1_action,m1_targets,m1_correct,m2_action,m2_targets,m2_correct,m3_action,m3_targets,m3_correct,m4_action,m4_targets,m4_correct,m5_action,m5_targets,m5_correct,m6_action,m6_targets,m6_correct
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,4,Scroll down page to bottom,Scroll,page,Scroll,page to bottom,TRUE,Scroll,page to bottom,TRUE,bottom,,FALSE,bottom,,FALSE,page,bottom,FALSE,Scroll,page to bottom,TRUE
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,5,Verify 'SUBSCRIPTION' is visible,Verify,SUBSCRIPTION,Verify,SUBSCRIPTION,TRUE,Verify,SUBSCRIPTION,TRUE,is,SUBSCRIPTION,FALSE,is,SUBSCRIPTION,FALSE,is,SUBSCRIPTION,FALSE,Verify,SUBSCRIPTION,TRUE
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,6,Click on arrow at bottom right side to move upward,Click,arrow,Click,arrow at bottom right side to move upward,TRUE,Click,arrow at bottom right side to move upward,TRUE,move,,FALSE,move upward,,FALSE,Click,"arrow, bottom right side",TRUE,Click,arrow at bottom right side to move upward,TRUE
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,7,Verify that page is scrolled up and 'Full-Fledged practice website for Automation Engineers' text is visible on screen,Verify,Full-Fledged practice website for Automation Engineers,Verify,Full-Fledged practice website for Automation Engineers,TRUE,Verify,page,FALSE,Verify,Full-Fledged practice website for Automation Engineers,TRUE,Verify,Full-Fledged practice website for Automation Engineers,TRUE,scrolled,Full-Fledged practice website for Automation Engineers,FALSE,Verify,Full-Fledged practice website for Automation Engineers,TRUE
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,2,Navigate to url 'http://automationexercise.com',Navigate,http://automationexercise.com,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE,url,http://automationexercise.com,FALSE,url,http://automationexercise.com,FALSE,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,4,Click on 'Signup / Login' button,Click,Signup / Login,Click,Signup / Login,TRUE,Click,Signup / Login,TRUE,,,FALSE,,,FALSE,Click,Signup / Login,TRUE,Click,Signup / Login,TRUE
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,5,Verify 'Login to your account' is visible,Verify,Login to your account,Verify,Login to your account,TRUE,Verify,Login to your account,TRUE,is,Login to your account,FALSE,is,Login to your account,FALSE,is,Login to your account,FALSE,Verify,Login to your account,TRUE
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,6,Enter incorrect email address and password,Enter,"email address, password",Enter,"incorrect email address, password",TRUE,Enter,"incorrect email address, password",TRUE,,,FALSE,,,FALSE,Enter,"incorrect email address and password, password",TRUE,Enter,"password, incorrect email address",TRUE
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,7,Click 'login' button,Click,login,Click,login,TRUE,Click,login,TRUE,,,FALSE,,,FALSE,button,login,FALSE,Click,login,TRUE
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,8,Verify error 'Your email or password is incorrect!' is visible,Verify,Your email or password is incorrect!,Verify,Your email or password is incorrect!,TRUE,Verify,Your email or password is incorrect!,TRUE,is,Your email or password is incorrect!,FALSE,is,Your email or password is incorrect!,FALSE,is,Your email or password is incorrect!,FALSE,Verify,Your email or password is incorrect!,TRUE
App1-TestCase4.feature,Test Case 4: Verify Subscription in Cart page,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App1-TestCase4.feature,Test Case 4: Verify Subscription in Cart page,2,Navigate to url 'http://automationexercise.com',Navigate,http://automationexercise.com,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE,url,http://automationexercise.com,FALSE,url,http://automationexercise.com,FALSE,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE
App1-TestCase4.feature,Test Case 4: Verify Subscription in Cart page,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
App1-TestCase4.feature,Test Case 4: Verify Subscription in Cart page,4,Click 'Cart' button,Click,Cart,Click,Cart,TRUE,Click,Cart,TRUE,,,FALSE,,,FALSE,Click,Cart,TRUE,Click,Cart,TRUE
App1-TestCase4.feature,Test Case 4: Verify Subscription in Cart page,5,Scroll down to footer,Scroll,footer,Scroll,footer,TRUE,Scroll,footer,TRUE,footer,,FALSE,footer,,FALSE,Scroll,footer,TRUE,Scroll,footer,TRUE
App1-TestCase4.feature,Test Case 4: Verify Subscription in Cart page,6,Verify text 'SUBSCRIPTION',Verify,SUBSCRIPTION,Verify,SUBSCRIPTION,TRUE,Verify,SUBSCRIPTION,TRUE,,,FALSE,,,FALSE,Verify,SUBSCRIPTION,TRUE,Verify,SUBSCRIPTION,TRUE
App1-TestCase4.feature,Test Case 4: Verify Subscription in Cart page,7,Enter email address in input and click arrow button,Enter,email address,Enter,email address in input,TRUE,Enter,email address,TRUE,,,FALSE,,,FALSE,Enter,email address,TRUE,Enter,email address,TRUE
App1-TestCase4.feature,Test Case 4: Verify Subscription in Cart page,7,Enter email address in input and click arrow button,Click,arrow button,click,arrow button,TRUE,click,arrow button,TRUE,,,FALSE,,,FALSE,click,arrow button,TRUE,click,arrow button,TRUE
App1-TestCase4.feature,Test Case 4: Verify Subscription in Cart page,8,Verify success message 'You have been successfully subscribed!' is visible,Verify,You have been successfully subscribed!,Verify,You have been successfully subscribed!,TRUE,Verify,You have been successfully subscribed!,TRUE,have,You have been successfully subscribed!,FALSE,have,You have been successfully subscribed!,FALSE,subscribed,You have been successfully subscribed!,FALSE,Verify,You have been successfully subscribed!,TRUE
App1-TestCase5.feature,Test Case 5: Register User,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App1-TestCase5.feature,Test Case 5: Register User,2,Navigate to url 'http://automationexercise.com',Navigate,http://automationexercise.com,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE,url,http://automationexercise.com,FALSE,url,http://automationexercise.com,FALSE,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE
App1-TestCase5.feature,Test Case 5: Register User,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
App1-TestCase5.feature,Test Case 5: Register User,4,Click on 'Signup / Login' button,Click,Signup / Login,Click,Signup / Login,TRUE,Click,Signup / Login,TRUE,,,FALSE,,,FALSE,Click,Signup / Login,TRUE,Click,Signup / Login,TRUE
App1-TestCase5.feature,Test Case 5: Register User,5,Verify 'New User Signup!' is visible,Verify,New User Signup!,Verify,New User Signup!,TRUE,Verify,New User Signup!,TRUE,is,New User Signup!,FALSE,is,New User Signup!,FALSE,Verify,New User Signup!,TRUE,Verify,New User Signup!,TRUE
App1-TestCase5.feature,Test Case 5: Register User,6,Enter name and email address,Enter,"name, email address",Enter,"name, email address",TRUE,Enter,"name, email address",TRUE,,,FALSE,,,FALSE,Enter,"name and email address, email address",TRUE,Enter,"email address, name",TRUE
App1-TestCase5.feature,Test Case 5: Register User,7,Click 'Signup' button,Click,Signup,Click,Signup,TRUE,Click,Signup,TRUE,,,FALSE,,,FALSE,Click,Signup,TRUE,Click,Signup,TRUE
App1-TestCase5.feature,Test Case 5: Register User,8,Verify that 'ENTER ACCOUNT INFORMATION' is visible,Verify,ENTER ACCOUNT INFORMATION,Verify,ENTER ACCOUNT INFORMATION,TRUE,Verify,ENTER ACCOUNT INFORMATION,TRUE,Verify,ENTER ACCOUNT INFORMATION,TRUE,Verify that,ENTER ACCOUNT INFORMATION,FALSE,is,ENTER ACCOUNT INFORMATION,FALSE,Verify,ENTER ACCOUNT INFORMATION,TRUE
App1-TestCase5.feature,Test Case 5: Register User,9,"Fill details: Title, Name, Email, Password, Date of birth",Fill,"Title, Name, Email, Password, Date of birth",Fill,"details: Title, Name, Email, Password, Date of birth",TRUE,Fill,"details: Title, Name, Email, Password, Date of birth",TRUE,,,FALSE,,,FALSE,details,,FALSE,Fill,details: Title,FALSE
App1-TestCase5.feature,Test Case 5: Register User,10,Select checkbox 'Sign up for our newsletter!',Select,Sign up for our newsletter!,Select,Sign up for our newsletter!,TRUE,Select,checkbox Sign up for our newsletter!,TRUE,'Sign,Sign up for our newsletter!,FALSE,'Sign up,Sign up for our newsletter!,FALSE,Sign,Sign up for our newsletter!,FALSE,Select,Sign up for our newsletter!,TRUE
App1-TestCase5.feature,Test Case 5: Register User,11,Select checkbox 'Receive special offers from our partners!',Select,Receive special offers from our partners!,Select,Receive special offers from our partners!,TRUE,Select,checkbox Receive special offers from our partners!,TRUE,,,FALSE,,,FALSE,Receive,Receive special offers from our partners!,FALSE,Select,Receive special offers from our partners!,TRUE
App1-TestCase5.feature,Test Case 5: Register User,12,"Fill details: First name, Last name, Company, Address, Address2, Country, State, City, Zipcode, Mobile Number",Fill,"First name, Last name, Company, Address, Address2, Country, State, City, Zipcode, Mobile Number",Fill,"details: First name, Last name, Company, Address, Address2, Country, State, City, Zipcode, Mobile Number",TRUE,Fill,"details: First name, Last name, Company, Address, Address2, Country, State, City, Zipcode, Mobile Number",TRUE,,,FALSE,,,FALSE,details,,FALSE,Fill,details: First name,FALSE
App1-TestCase5.feature,Test Case 5: Register User,13,Click 'Create Account button',Click,Create Account button,Click,Create Account button,TRUE,Click,Create Account button,TRUE,,,FALSE,,,FALSE,Click,Create Account button,TRUE,Click,Create Account button,TRUE
App1-TestCase5.feature,Test Case 5: Register User,14,Verify that 'ACCOUNT CREATED!' is visible,Verify,ACCOUNT CREATED!,Verify,ACCOUNT CREATED!,TRUE,Verify,ACCOUNT CREATED!,TRUE,Verify,ACCOUNT CREATED!,TRUE,Verify,ACCOUNT CREATED!,TRUE,is,ACCOUNT CREATED!,FALSE,Verify,ACCOUNT CREATED!,TRUE
App1-TestCase5.feature,Test Case 5: Register User,15,Click 'Continue' button,Click,Continue,Click,Continue,TRUE,Click,Continue,TRUE,,,FALSE,,,FALSE,Click,Continue,TRUE,Click,Continue,TRUE
App1-TestCase5.feature,Test Case 5: Register User,16,Verify that 'Logged in as username' is visible,Verify,Logged in as username,Verify,Logged in as username,TRUE,Verify,Logged in as username,TRUE,Verify,Logged in as username,TRUE,Verify,Logged in as username,TRUE,is,Logged in as username,FALSE,Verify,Logged in as username,TRUE
App1-TestCase5.feature,Test Case 5: Register User,17,Click 'Delete Account' button,Click,Delete Account,Click,Delete Account,TRUE,Click,Delete Account,TRUE,,,FALSE,,,FALSE,Click,Delete Account,TRUE,Click,Delete Account,TRUE
App1-TestCase5.feature,Test Case 5: Register User,18,Verify that 'ACCOUNT DELETED!' is visible and click 'Continue' button,Verify,ACCOUNT DELETED!,Verify,ACCOUNT DELETED!,TRUE,Verify,ACCOUNT DELETED!,TRUE,Verify,ACCOUNT DELETED!,TRUE,Verify,ACCOUNT DELETED!,TRUE,Verify,ACCOUNT DELETED!,TRUE,Verify,ACCOUNT DELETED!,TRUE
App1-TestCase5.feature,Test Case 5: Register User,18,Verify that 'ACCOUNT DELETED!' is visible and click 'Continue' button,Click,Continue,click,Continue,TRUE,click,Continue,TRUE,,,FALSE,,,FALSE,click,Continue,TRUE,click,Continue,TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,2,Navigate to url 'http://automationexercise.com',Navigate,http://automationexercise.com,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE,url,http://automationexercise.com,FALSE,url,http://automationexercise.com,FALSE,Navigate,http://automationexercise.com,TRUE,Navigate,http://automationexercise.com,TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,4,Click on 'Contact Us' button,Click,Contact Us,Click,Contact Us,TRUE,Click,Contact Us,TRUE,,,FALSE,,,FALSE,Click,Contact Us,TRUE,Click,Contact Us,TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,5,Verify 'GET IN TOUCH' is visible,Verify,GET IN TOUCH,Verify,GET IN TOUCH,TRUE,Verify,GET IN TOUCH,TRUE,is,GET IN TOUCH,FALSE,is,GET IN TOUCH,FALSE,is,GET IN TOUCH,FALSE,Verify,GET IN TOUCH,TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,6,"Enter name, email, subject and message",Enter,"name, email, subject, message",Enter,"name, email, subject, message",TRUE,Enter,"name, email, subject, message",TRUE,,,FALSE,,,FALSE,Enter,"name, email, subject and message, email, subject and message, subject and message, message",TRUE,Enter,"message, name, email, subject",TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,7,Upload file,Upload,file,Upload,file,TRUE,Upload,file,TRUE,,,FALSE,,,FALSE,file,,FALSE,Upload,file,TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,8,Click 'Submit' button,Click,Submit,Click,Submit,TRUE,Click,Submit,TRUE,,,FALSE,,,FALSE,Click,Submit,TRUE,Click,Submit,TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,9,Click OK button,Click,OK,Click,OK button,TRUE,Click,OK button,TRUE,,,FALSE,,,FALSE,Click,OK button,TRUE,Click,OK button,TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,10,Verify success message 'Success! Your details have been submitted successfully.' is visible,Verify,Success! Your details have been submitted successfully.,Verify,Success! Your details have been submitted successfully.,TRUE,Verify,Success! Your details have been submitted successfully.,TRUE,have,Success! Your details have been submitted successfully.,FALSE,have,Success! Your details have been submitted successfully.,FALSE,Verify,Success! Your details have been submitted successfully.,TRUE,Verify,Success! Your details have been submitted successfully.,TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,11,Click 'Home' button and verify that landed to home page successfully,Click,Home,Click,Home,TRUE,Click,Home,TRUE,,,FALSE,,,FALSE,Click,Home,TRUE,Click,Home,TRUE
App1-TestCase6.feature,Test Case 6: Contact Us Form,11,Click 'Home' button and verify that landed to home page successfully,Verify,home page,verify,landed to home page successfully,TRUE,verify,landed to home page successfully,TRUE,landed,home page,FALSE,landed to,home page,FALSE,verify,,FALSE,verify,landed to home page successfully,TRUE
App2-TestCase1.feature,Test Case 1: Successfully Search for a Movie,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App2-TestCase1.feature,Test Case 1: Successfully Search for a Movie,2,Navigate to url 'http://localhost:5173/',Navigate,http://localhost:5173/,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE,url,http://localhost:5173/,FALSE,url,http://localhost:5173/,FALSE,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE
App2-TestCase1.feature,Test Case 1: Successfully Search for a Movie,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
App2-TestCase1.feature,Test Case 1: Successfully Search for a Movie,4,Click on the search input labeled 'Digite o nome do filme',Click,Digite o nome do filme,Click,Digite o nome do filme,TRUE,Click,the search input labeled Digite o nome do filme,TRUE,labeled,Digite o nome do filme,FALSE,labeled,Digite o nome do filme,FALSE,Click,Digite o nome do filme,TRUE,Click,Digite o nome do filme,TRUE
App2-TestCase1.feature,Test Case 1: Successfully Search for a Movie,5,Enter movie name 'Interestellar',Enter,Interestellar,Enter,Interestellar,TRUE,Enter,movie name Interestellar,TRUE,,,FALSE,,,FALSE,Enter,Interestellar,TRUE,Enter,Interestellar,TRUE
App2-TestCase1.feature,Test Case 1: Successfully Search for a Movie,6,Verify that the movie card titled 'Interstellar' is visible,Verify,Interstellar,Verify,Interstellar,TRUE,Verify,the movie card titled Interstellar,TRUE,Verify,Interstellar,TRUE,Verify that,Interstellar,FALSE,Verify,Interstellar,TRUE,Verify,Interstellar,TRUE
App2-TestCase2.feature,Test Case 6: Successfully Filter Movies by State,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App2-TestCase2.feature,Test Case 6: Successfully Filter Movies by State,2,Navigate to url 'http://localhost:5173/',Navigate,http://localhost:5173/,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE,url,http://localhost:5173/,FALSE,url,http://localhost:5173/,FALSE,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE
App2-TestCase2.feature,Test Case 6: Successfully Filter Movies by State,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
App2-TestCase2.feature,Test Case 6: Successfully Filter Movies by State,4,Click on the select dropdown labeled 'Estado',Click,Estado,Click,Estado,TRUE,Click,the select dropdown labeled Estado,TRUE,labeled,Estado,FALSE,labeled,Estado,FALSE,Click,Estado,TRUE,Click,Estado,TRUE
App2-TestCase2.feature,Test Case 6: Successfully Filter Movies by State,5,Select the option 'AM' from the list,Select,AM,Select,AM,TRUE,Select,the option AM from the list,TRUE,Select,AM,TRUE,Select,AM,TRUE,Select,AM,TRUE,Select,AM,TRUE
App2-TestCase2.feature,Test Case 6: Successfully Filter Movies by State,6,Verify that the movie card titled 'Joker' is visible,Verify,Joker,Verify,Joker,TRUE,Verify,the movie card titled Joker,TRUE,Verify,Joker,TRUE,Verify that,Joker,FALSE,Verify,Joker,TRUE,Verify,Joker,TRUE
App2-TestCase3.feature,Test Case 3: Unsuccessfully Login with Incorrect Credentials,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App2-TestCase3.feature,Test Case 3: Unsuccessfully Login with Incorrect Credentials,2,Navigate to url 'http://localhost:5173/',Navigate,http://localhost:5173/,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE,url,http://localhost:5173/,FALSE,url,http://localhost:5173/,FALSE,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE
App2-TestCase3.feature,Test Case 3: Unsuccessfully Login with Incorrect Credentials,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
App2-TestCase3.feature,Test Case 3: Unsuccessfully Login with Incorrect Credentials,4,Click on 'LogIn' button,Click,LogIn,Click,LogIn,TRUE,Click,LogIn,TRUE,,,FALSE,,,FALSE,Click,LogIn,TRUE,Click,LogIn,TRUE
App2-TestCase3.feature,Test Case 3: Unsuccessfully Login with Incorrect Credentials,5,Verify 'Log In' is visible,Verify,Log In,Verify,Log In,TRUE,Verify,Log In,TRUE,is,Log In,FALSE,is,Log In,FALSE,is,Log In,FALSE,Verify,Log In,TRUE
App2-TestCase3.feature,Test Case 3: Unsuccessfully Login with Incorrect Credentials,6,Enter incorrect email and password,Enter,"email, password",Enter,"incorrect email, password",TRUE,Enter,"incorrect email, password",TRUE,,,FALSE,,,FALSE,Enter,"incorrect email and password, password",TRUE,Enter,"password, incorrect email",TRUE
App2-TestCase3.feature,Test Case 3: Unsuccessfully Login with Incorrect Credentials,7,Click 'Log In' button,Click,Log In,Click,Log In,TRUE,Click,Log In,TRUE,,,FALSE,,,FALSE,Click,Log In,TRUE,Click,Log In,TRUE
App2-TestCase3.feature,Test Case 3: Unsuccessfully Login with Incorrect Credentials,8,Verify error message 'User not found!' is visible,Verify,User not found!,Verify,User not found!,TRUE,Verify,User not found!,TRUE,found,User not found!,FALSE,found,User not found!,FALSE,Verify,User not found!,TRUE,Verify,User not found!,TRUE
App2-TestCase4.feature,Test Case 4: Successfully Navigate to Movie Details Page,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App2-TestCase4.feature,Test Case 4: Successfully Navigate to Movie Details Page,2,Navigate to url 'http://localhost:5173/',Navigate,http://localhost:5173/,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE,url,http://localhost:5173/,FALSE,url,http://localhost:5173/,FALSE,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE
App2-TestCase4.feature,Test Case 4: Successfully Navigate to Movie Details Page,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
App2-TestCase4.feature,Test Case 4: Successfully Navigate to Movie Details Page,4,Click on the movie card titled 'Barbie',Click,Barbie,Click,Barbie,TRUE,Click,the movie card titled Barbie,TRUE,titled,Barbie,FALSE,titled,Barbie,FALSE,Click,Barbie,TRUE,Click,Barbie,TRUE
App2-TestCase4.feature,Test Case 4: Successfully Navigate to Movie Details Page,5,Verify that the movie details page for 'Barbie' is visible,Verify,Barbie,Verify,Barbie,TRUE,Verify,the movie details page for Barbie,TRUE,Verify,Barbie,TRUE,Verify that,Barbie,FALSE,Verify,Barbie,TRUE,Verify,Barbie,TRUE
App2-TestCase5.feature,Test Case 5: Successfully Register a New User,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App2-TestCase5.feature,Test Case 5: Successfully Register a New User,2,Navigate to url 'http://localhost:5173/',Navigate,http://localhost:5173/,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE,url,http://localhost:5173/,FALSE,url,http://localhost:5173/,FALSE,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE
App2-TestCase5.feature,Test Case 5: Successfully Register a New User,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
App2-TestCase5.feature,Test Case 5: Successfully Register a New User,4,Click on 'LogIn' button,Click,LogIn,Click,LogIn,TRUE,Click,LogIn,TRUE,,,FALSE,,,FALSE,Click,LogIn,TRUE,Click,LogIn,TRUE
App2-TestCase5.feature,Test Case 5: Successfully Register a New User,5,Verify 'Log In' is visible,Verify,Log In,Verify,Log In,TRUE,Verify,Log In,TRUE,is,Log In,FALSE,is,Log In,FALSE,is,Log In,FALSE,Verify,Log In,TRUE
App2-TestCase5.feature,Test Case 5: Successfully Register a New User,6,Click on 'SignUp' button,Click,SignUp,Click,SignUp,TRUE,Click,SignUp,TRUE,,,FALSE,,,FALSE,Click,SignUp,TRUE,Click,SignUp,TRUE
App2-TestCase5.feature,Test Case 5: Successfully Register a New User,7,Verify 'Sign Up' is visible,Verify,Sign Up,Verify,Sign Up,TRUE,Verify,Sign Up,TRUE,is,Sign Up,FALSE,is,Sign Up,FALSE,is,Sign Up,FALSE,Verify,Sign Up,TRUE
